password,hashed_password,strength,weak_property
fIU9s7HrnWM,771a1937b19b7c902b34093b3050d9bbf293a9f72c6187e556099a9ba26f78d5,Medium,"Include at least one special character (@, #, $, etc.)"
GyQ6j,a184693041b5c6459ee7b35217bacb32759ef5de09f8458ef7319be48f0cc222,Weak,Too short (<8 characters)
&M3wRR?x,94e7f47e789bc5a2c3e5a656f39dfd2a8b10a91d4b9657bb592f4c73188e4d0d,Strong,Good balance of characters
6vbmCM6&l*W&mF#,6cf6bb37d75bfb39a340fb96ccebb9b11398c17d9aff6f8042673a47015fb580,Very Strong,Good balance of characters
gu&0G$Q6*INPbX,0cc0a98c1d4d2df533181c30f058a36c007683ace7613233be6e569a96d96625,Very Strong,Good balance of characters
N8ckMkzk54w,062ce768d1fb866a4737cedbe3e03de17158742b1ad9d6ccbab66447675563ec,Medium,"Include at least one special character (@, #, $, etc.)"
AhC$QtP&O0z,3458303fabb37d081a6b019b1216c3886bf852f050e9b774bebc605418c3ff22,Strong,Good balance of characters
8f6*4Dl6,aaa43c7e99e3691a9ab833043dfd38d3c25bccd777ee1b0b08feebcbc64bcf89,Strong,Good balance of characters
t$Lm5wSO,82e131611c18e53f92bf305322e1ec0bb51802f12bd1449d4f1d39bdfa3914e3,Strong,Good balance of characters
oTa?Ix5!nd@A@OJ2,aee1dbe89a35c721d8cd176fd386585b9c352fcbb2420fdb56fc0bb23e1aeaeb,Very Strong,Good balance of characters
&!%KjmmeuID45,7e10dc9dbf86265530dff15692b71686e5316cebfdda54e131c304e08eadee31,Very Strong,Good balance of characters
fCU5dO3xU8ncO,cbb1b09d498d23021f85778247597c3db1dbdcdb674e246d20aa474861a0f2ce,Medium,"Include at least one special character (@, #, $, etc.)"
6pg3Z4ISH,91a3c0286b484912316517f95cf103ec5c5deb7861bf293ba1fa726cacc6b541,Medium,"Include at least one special character (@, #, $, etc.)"
MK61FoYd,42fe04910d61a96d0a039f6e63a937cf127618f31a5c99f4c4740ff8adb0da29,Medium,"Include at least one special character (@, #, $, etc.)"
pMtB&,6b487d97c82888368da7a10b3cc267c13ee281f67e84e386e61759301ead8742,Weak,Too short (<8 characters)
!HF1rAN2b2,981f2f6e5e5f32cc7621a6607cb9b0902e979e4dca3c7970358dc3f7ce066314,Strong,Good balance of characters
jm3Yew,6788f775c857eb874bf26ef0250aef1dc027eb7a937ade5000a0961dcfc9929b,Weak,Too short (<8 characters)
tYvjIQ,2a8e016bb0c8c03de0e9eeb7933660e82baea7451db71d19f939aefae7fb4c53,Weak,Too short (<8 characters)
@yHR28dg,5d863ed508b4ff9abe443bc9f68a9fb2e7743137e35b0988b151dd6758806bbd,Strong,Good balance of characters
yxw6zzxO?5Y6,43a732b3c1509bd1b4b356a1cd1f9ae2b5315632e7bc6f4795c05ed73b9cba46,Very Strong,Good balance of characters
3$@J?XWx0HfSM,6dc7e297ca5e084eaf1419251fb2773a05b87337d632c0fb1f2911fd14804c28,Very Strong,Good balance of characters
L2#UZwM6@b,45bdc06eb7424b0db36574132a00b96b5ad67c4a19e380fd859fe5c24284bab6,Strong,Good balance of characters
jY8xEjqU,fc00050da5c8945c4a05ecb750327ffccdf29736cc6fde16afdd4877d20a533a,Medium,"Include at least one special character (@, #, $, etc.)"
iNyyEo3O4@yw,292c3b251e4effe060ef6a243654df5911061a92790bafc8eb3d0455bb63c631,Very Strong,Good balance of characters
XG&V*OUqyEMgHmq,0ea4535e314b7bf88ebd2661760362205f39dd91a24a6797da7b3c735111b8c7,Medium,Include at least one number
m102mTGP4,e20f6bcfaa0b015e3e1371fef4e44280b6904726dcab02a053c13586e29b9a43,Medium,"Include at least one special character (@, #, $, etc.)"
pEc*0sU#Il,3111d846322f4623a56b300956cad6ed0fc6b5cdb73d1b6d19a439958cc88870,Strong,Good balance of characters
3f70#OYMD8zmdW,e5c4afb8f2926a9179879d4d54c100aa59599e08261549d538c2e36517184077,Very Strong,Good balance of characters
mo80J6NP,7f5112b440d20557d91fa40d642aec5b84303cafb78c25d2a6a820dfbfff640d,Medium,"Include at least one special character (@, #, $, etc.)"
ITHmEpktmR,88cbcd87905971ed39e764685715043640a2f0d624219a3e10509feca6679ac5,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
bpOaW*tn,5c42ff1b248309958cfef2c068b50c5ec6313acd92da09657cbdc6275256b4b9,Medium,Include at least one number
P95I2rMR#1gk,2cd28aec1ed3d38e8bbcba074f21cdb9d60a26c7fb3c42ea80d08ce5ab689b86,Very Strong,Good balance of characters
x82bbCJ%,69c4736e85064f7d7265df919d5f9417275c55064f247371efa3e040f53ddfdf,Strong,Good balance of characters
Y1pszs,71eb4c0651a389c150fd630bfb5978d5a16e6ac6dfba2001858f48e927659e3d,Weak,Too short (<8 characters)
8@i4q%%Su*vk,35dcf1897bbb8bfea9176fe5b6768bd720817f95dc0bd9078d9718666bbb70b1,Very Strong,Good balance of characters
Aa9vPM1t0kW,61945e001fdb4dcfc579b991f77e16c6e82daaa1dc1df790900629dddfc463df,Medium,"Include at least one special character (@, #, $, etc.)"
!CK%*y,b1a0eff0b1c956049df48d2b8bc5485f461b05d64efd0fe4f2f44d1b7549bdfe,Weak,Too short (<8 characters)
@BmiNbbeepAmSEjL,94328604615f14354f0c461143691404a4f86d5ffa79f24de46abbe2024ce273,Medium,Include at least one number
QIf#5sk,eec3e9085fe61abbb1ab8d29477546d78e64a1ab98592b78d5b19052c9c9a278,Weak,Too short (<8 characters)
dTR%?okb,c4bb877136486974894d452c4bf9b0f37bdc35d70601f3e5e66b789af95a1df9,Medium,Include at least one number
VI$4&4L,0583f780386fb3833d7a3990c2484bba5f839b6858c7a14b6c2e52a10f189ef4,Weak,Too short (<8 characters)
6Mdv1qW@7ScDg,a2eafe391be28a71bca4afcd59b68466fdd9cf938aedb10e030ccfdb217caf2c,Very Strong,Good balance of characters
*gQUJE@G,5fa4dd2da531df2b5709558fab82c638d2401580a7f2ee64b37338c040d79e5a,Medium,Include at least one number
rQ@*u,964d03f9a2fd49e8448e2f0026b93b584455695601518d5c7bdf8f4e1f157b0c,Weak,Too short (<8 characters)
Thx#peGq63EM,b03e6f2acb28ae47064283c0fa89cc7362ac62756d9068d7e1125310f41044b0,Very Strong,Good balance of characters
u0eJ@@,b7cb87c9758381d503909c38ea57514fb5aa1317c36378fad7ea0a49540cd2fc,Weak,Too short (<8 characters)
3G11v9@8g8Ivt,d0345540908a7e8e9fac1700fa2f18107a85be7822787c78e798b916a85ca6b4,Very Strong,Good balance of characters
Xvwp%,b7582ad1c5a824d8de7d02a6c2b9f960d0b5fdd3687874af8fa1361307074755,Weak,Too short (<8 characters)
6Decl8kY&X,42364de6c6c259c1286bb1d9d8322d939b2be91088c7d4f21990f823d161f5d1,Strong,Good balance of characters
YBjKjw@m!3rHp3Vy,732551f78eb5f2a029800bf153efa58c98468c656691cb8cb98cfa4d9af25824,Very Strong,Good balance of characters
@97?bEH,665d17cbf8061a83eaf9c8edc1ec787ed9c01c59cd27bce297533d26f40eeb90,Weak,Too short (<8 characters)
Pp8Z3v$lF4Q,c1767bf642596c1b99b5154e539da03ddd0586b7d6f045fda29a625ec879d952,Strong,Good balance of characters
rFFeF,a89bb8609f4e43f32f533eebac5330311ad51ceaa3ac4a825ad30a4e3c19fff8,Weak,Too short (<8 characters)
GlTSC,ea2e3af3884a3af66223b51b9437535d734e9316e4332180aec9710ed4930684,Weak,Too short (<8 characters)
nATHt?,4ab420144f55591dc09601bf1d4e9274548382b6caf07172381cdd010fd43a18,Weak,Too short (<8 characters)
1U$#O,b9e4aaedaa9c2c88bbab781c37013691566a8a1bfb98bf107e67fb4c4dad0207,Weak,Too short (<8 characters)
EEqc?l5*w,ff555cd62be21d12e630d07758056850c7123de1c67f588509cc6a46720f65de,Strong,Good balance of characters
D68*UIAZySSa7Xa?,dee377395151de6b34fab58dac34204cfa939053c841e5fd51f8fd7408b60417,Very Strong,Good balance of characters
556?&,993b7a79c461abe690c8fa8b0e9d1973dfe3c3f9c8a35053f6f81a6fb0ec3dfc,Weak,Too short (<8 characters)
5ttrsr7E1,a6ef1a9204afee6033a23e4217615f160d02b809540ff2425c35888c63386f11,Medium,"Include at least one special character (@, #, $, etc.)"
bVJ$F%qw&R,7badaf64badc96f1d831d6ece96ac8a11c6bc9610ba5d664966abb5e42946e21,Medium,Include at least one number
Vh!g!f,ad1f6adc5b3f072f4e6ebdc661f62782649c1c28a68915fa09647cd69a94462f,Weak,Too short (<8 characters)
30ff6B&so6C7%V,86f23e118a4a2221f7acb6f5735925dc489e22c76670deb3b0934dc4395300df,Very Strong,Good balance of characters
boAK4yrO19yUT,1cbc2dd30f9fcbbbcd7226d1a16e73c768feac092de260338fe33d6504ed44cc,Medium,"Include at least one special character (@, #, $, etc.)"
oGNhPxTyU$WY1koR,970f18863e48bd83b832a010df315aae3218ef8a743d35945687856b3400394c,Very Strong,Good balance of characters
plylxMi,b4265cfde3cb5526b729857c275d375ba1fb2e8b6912b0e024d973ba38ecc2c0,Weak,Too short (<8 characters)
bxfNuoKcDcIT,f63bedae067e845b395e66cbaeb7d8709adea70b3583ea50c06c88111deeb179,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
IueB9juONU,574262b7bd76c1db2e6b896178350ca1010391f4d183a2828b3d18f975658e94,Medium,"Include at least one special character (@, #, $, etc.)"
ks0GlfY812Rn,2f1778c7c3c1ac07f70d26b62d1cdf13259c3f245ced561d8e3c0cf9d8be3e79,Medium,"Include at least one special character (@, #, $, etc.)"
lneXz@KprI,1d26977b621ed5b711a70b8d7b6dec3da6505df92eee431ab4e0a1d198668888,Medium,Include at least one number
%eu*BrhfVPh7fjc7,77d6cbe609701adfc11cc5debf36635a9d41e4cc5a4e5392b420e5335a5731bc,Very Strong,Good balance of characters
2Zh1QPn,0b930a1bbf2821c007723c7b0cc94c782f7af3b81bf81794b18ba0a35619dcc8,Weak,Too short (<8 characters)
GBJ%SsB%tmf%,4040efdf3a90c45c94a967a79c0f3e776dd03cae9a130538c7b78493f61df7fd,Medium,Include at least one number
CHxN?U,3a64eccc6e7d14d3bb9e4706a86ab06f7270bcf967f48ccc93961ed51d39987f,Weak,Too short (<8 characters)
?am%Vfv&Dko9?KH,16ba65d9421890c4ee41f6161a0ad95c922ccbc44f38ca8c9f2004c1ddf57d0d,Very Strong,Good balance of characters
bJml346JhHJg3vSq,8baa713a54fd1a010d5e1e86469c31e7628506517098f844a4d21742fbf781b5,Medium,"Include at least one special character (@, #, $, etc.)"
bV8Ad*2Qp!y,edf055506a7fca5f6f6d4498fd68b3fc56988681fc1e11a06c2788b8f08a1f04,Strong,Good balance of characters
a%b$DJ$,3e77e57022c4c501519d0ba6af9b991cd5a26ae25bb79a106ce14f7f8f51daf5,Weak,Too short (<8 characters)
T@2WJnvE*,f37f122369607db750be714260f07407a0cdfce9efbb856087e42d324e6dfb00,Strong,Good balance of characters
ApId2yr&DyjE5kC?,6b7ff28677e0e4fa4b6ecaea698d24859b8528b9353f75456b943569f4f5999a,Very Strong,Good balance of characters
wmu2*P#,26d80b1d66d80bb84f90ead4537428a2e9c7ed5a355ac899cfedf8482ad76e2c,Weak,Too short (<8 characters)
ca7&qJ,b56ade570e1fed54ea50edf59bcb2ae5d19164f894256d4739f09469925d60ba,Weak,Too short (<8 characters)
px85q,24a863665313d6686116d94a7342bb0ff806ee0c4dbc6977244f778ad303d6c8,Weak,Too short (<8 characters)
cIG$J,79ebe4ee577c4a92a4b8c1186873f95a699a49d11335b9a11288fc31ab67a5b7,Weak,Too short (<8 characters)
gSebCva,f82809a8e0e88195c16c1a6855129f081431379169b53ff21bc5073f17fe071e,Weak,Too short (<8 characters)
KN5*6GwqbT,3b4c2210cea12433de112190473f5b2f9e22af34bc1f85526050a307895b38b5,Strong,Good balance of characters
&ZFunz2sX,7977fc17032a4bcc9d0b581b9fb8a3676816a820403767f8d1c8d55539ba42cc,Strong,Good balance of characters
Gk$vi,9f41d43e49ed914c4a481f8efa88f792973613f76ef17e0dccd16cd9e03544b0,Weak,Too short (<8 characters)
4Fp3TGZSEuh7,9fc1f8ac83183534b925e47f33308d639c2b91479f06d4b9abcf4894a1471f14,Medium,"Include at least one special character (@, #, $, etc.)"
iK9UijIt7HmTUG*,14b8d307e7b20e0447bed9f765023895ae24c6c4fe86017330c1ed80747e0ceb,Very Strong,Good balance of characters
!JQEvr49LvVi,a3ebbf1ae4ea201ba88e8b0d502ca8948c1fb6062af3aab8d9002338bd3446c6,Very Strong,Good balance of characters
Z7bk*!iHo*I,dc3bf14d6a55db80305e6356b7e5cb8c001f1e134fc55cfd77a2f2a3b68d99ce,Strong,Good balance of characters
z67GpQn,e388d314ef14ba3e62030aab51758e1e36a4161a0feb855ea2230f3c0a53f121,Weak,Too short (<8 characters)
s%dN1zSBht9UtCN4,47efd19c7365ab88a8a344312528dfcd323d0702eb942a92de4273d88be515bc,Very Strong,Good balance of characters
ZfEwny1xVuq,bd6d400532b1b7ac3ad4861bab8b4787841736e67941563caef6b68222e84dc8,Medium,"Include at least one special character (@, #, $, etc.)"
QdqabAsgkR,a7baf7f8ae029cf49efcf532024ac985b6ac5140ee3c76506b7cede27e843111,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
&Rtft5td,20f36d870dba09f6dc596cd149b5246f9083f48749a94676aec893cfae533fbb,Strong,Good balance of characters
vEkHet?l,840fad8720583cc09936e7f955b94b5411a6a67eff8793ddb9937f808290f64a,Medium,Include at least one number
4$*rd@5Ybw,b0a046df81d66201350597ff5bcecdae7ec2a2f900797a1b6895b0bcde139cea,Strong,Good balance of characters
?b9kRAnFL4&HZ?T,6c5ee6fa5b6c3e6d04ee8c8a6853a6b3268d0957726e2ea0727d1b3a1d15da2c,Very Strong,Good balance of characters
d9Dilox,1d78dec5221f83282a077459591e8c2fcdc3342e20dc25758de838222dea81fa,Weak,Too short (<8 characters)
omGxp,f34d0f5ac52b08eb6b93b8c0fb8abfaa6c90065b44322c3dcc1034d3aa334bde,Weak,Too short (<8 characters)
wtMN?Kj9w,a5e7e47df753cf208b36b78fb4383e94d3978853f0630560e897e48b8dd0379a,Strong,Good balance of characters
?JOl2t*nispS*U&f,b8fcd5c07e72c77eb6bccf950b279765ecdbb18b4192219efb86e8c9a23ddb54,Very Strong,Good balance of characters
olvq8qE,e865fdb9a857cc72e5584bb35a05e666129a46fbc90350a485c512b883cd93ad,Weak,Too short (<8 characters)
wI6#9!,9f288342694d95944d881bffd164aab4cfbc921e62ab3e50c5881b74ab5532f9,Weak,Too short (<8 characters)
1M34yCBqxZqwoTfe,7e32251d4086ef154c365de27b3ec5578c9dbb028679b87f65021cccf86b1f7d,Medium,"Include at least one special character (@, #, $, etc.)"
#8fUSOki*S@rG,cd0b02d6e60a71df9cd9341b1ee4e6b5144b98e471341ed6123bcff6704d2180,Very Strong,Good balance of characters
%14vNl91cR?4Uvl*,84372fc0d1a71aa7e832e7389b20b0dfa2b374159d00e97f0327875fd9c03a3a,Very Strong,Good balance of characters
lQlDykgy,25f5f2cbe66d91455d696f2d32c2a8b348d53c9942b3e53b1f0a0ee333084bf0,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
wG6mffU2luG5Xs@,366fac9c25cbdec3fca081aece14a08c11dcd3dd330dbe25a831177823d4c8ae,Very Strong,Good balance of characters
mgwwtav6t,daf6b4c4dd491659e2ed31126b8170131ce1f6aa0d89df812f8c13c36638020c,Medium,"Add at least one uppercase letter, Include at least one special character (@, #, $, etc.)"
KOq5KA7,6b9772d9887fe6abfe4f21418f0e099e5858e8a6a7b61fd1c4fdf0bd18def688,Weak,Too short (<8 characters)
Qxl4B8xe8O,768a3d9f5ef0506114604bc536e0da43f32e448fef107e5933cacddd3e2830af,Medium,"Include at least one special character (@, #, $, etc.)"
TdYhlMvad4JZT,eb0f580c6bf706426d5935cad0fa56c452e6828cd76d0b639d767a080c575714,Medium,"Include at least one special character (@, #, $, etc.)"
*gLXZVrcpu5Jf7,eb436c2ccdd71d8819adc04deac5b60e1768d2ef77cc5fb5c43169e7728240d2,Very Strong,Good balance of characters
3b5!z%sf65Hp,c0e2eff1cbfc4d3a350cdce34f66d99147ac62a3d750c038578c15527622ff49,Very Strong,Good balance of characters
MaJ*D#ol$,3b7e2682e561b3626071b09cdae339d149c5391bca0f363a7aa7c21173e370f7,Medium,Include at least one number
wi2Y?&BAeX90Eyq,2e6c3e01dda0f19921729d2207c1ab7c9698498a607f57346f3454e5ad11aaa5,Very Strong,Good balance of characters
5ts0mBWg,9c9490ff4a0feeb7d4a8a224d35009180bb0861e8ea3268cc8849be96ded5e11,Medium,"Include at least one special character (@, #, $, etc.)"
t%Klk%vb0YX,82a0bcd0a918154a311e1ac2fd1520ed5c6bb0d371861b1000eb6edf77ea365e,Strong,Good balance of characters
gkb&Aeb7,c739c928f6421596604b7ee3d165e384536cb790d41d384e90ee2d64329d08b2,Strong,Good balance of characters
yyyZ5S55o@,95fd0842a319b36c4faac188d46be34328793321a8159c21880c36c76624a106,Strong,Good balance of characters
kAWPr9f#M,fee33f367fb0f3334abf47fc0d25114dc427fe6d0e0ccd2439c22802ea50e0ab,Strong,Good balance of characters
M@Fkfk%RkYhN0OY#,bd112b38cdc9881202670e3b5f990bbaf8fe00f3f2b3fd53b5b88395cc0543ea,Very Strong,Good balance of characters
a769JXF2VTx,c4f1250362b84a8c7cce7616c131770075c9822ad8dacf2bea5da93e290097d9,Medium,"Include at least one special character (@, #, $, etc.)"
2z7Sp,3a18adfaed0aa14e1ed332bde68b661b49e8e3c59fd5c86c261dac44deae7938,Weak,Too short (<8 characters)
eatwXtW,4d6dfed862c43fb5d5b6977a510c1a054384b1db0215a8fe64c890c8770613df,Weak,Too short (<8 characters)
!osAEu5,19a96ddbc37f2325a0ca2dc4a503ffbe8f39c90adc17e36dbae65fcd3aa5af41,Weak,Too short (<8 characters)
g13I2fK,4a316b5bfd83843f8638b239aa0d18ef53d089aa927d6356e0fad10444b1da8e,Weak,Too short (<8 characters)
pFXKQ,eda42bceb31c0498b3f6c6c247063286659f61eaf37f9fa0db8e031cd6f2a3b0,Weak,Too short (<8 characters)
FZn@Vgud09O,6cbac1b4b4de45d313a953014542a090d18c5c5514856c6e920f51126a2e42de,Strong,Good balance of characters
M20SfYI,43578dfdc04a9e0627a8ef1d440abafa6b8dadf8a6386f1d1b8f4bbeafcc6712,Weak,Too short (<8 characters)
VxnAH!w,0f343c457d6ca7fd8f6b9095e42217588c0eb0df5d39777672c7cdcb38e6b709,Weak,Too short (<8 characters)
wMCrhy6kop,cf85689965e1802c0e8835889e2f8b8ca748cbc98487605b7aa17ad0d37e64a7,Medium,"Include at least one special character (@, #, $, etc.)"
yvgd!wWp@,1cce313c02d88b7dd5e6167af0cd1ddd2387e198b4c7ce175e37bc390457b7c9,Medium,Include at least one number
*?1LGhNcA3ZKSg,79c50e0ad5af8fdc72b6a58f7c3fb84c51933c046ab4622f66d4296182d0416c,Very Strong,Good balance of characters
7zPgme&$%hmCFBG,6e15fd9023350c125a4fba9827e8bd2d87381d2bd8aa92b937c2b0650bf44110,Very Strong,Good balance of characters
o5J2!lieiL,d8763a161f8934d5e33ce9d95e683f520a4b039322b9e3014808b6d8776500f7,Strong,Good balance of characters
YOZ%Pjdwu?j,67480d66c465c6e13642f52f08996668d490e6708e17d18c3f737d31523ac9a7,Medium,Include at least one number
xX0eVrRFNE1,761bafe322a8d565385a12c332077908c1c3f87f2ed054b56feb584c89e4285c,Medium,"Include at least one special character (@, #, $, etc.)"
&cMrx7Sda,5dbd10a973aa57aedf0f8b65c6d9df1ae7815e02ac93b3a4d3d0731054d63192,Strong,Good balance of characters
KjbeSobe?rBdTykm,db133c46349d3b444fb7636bc0bbf4cf1d864c7d9b9d0e61064631729c666bd8,Medium,Include at least one number
4!OHoWmC0sYC%?8T,1dbbac49c9cb25298e8ba0cdbd49ca48d8a9e24e3d7d2b2cedd0059695d0688f,Very Strong,Good balance of characters
0L4xSJz4JC,18d54e4325c45f89a00d0f6ff39951b9c4bcf4e69ba014b0e350b21b09e12ca1,Medium,"Include at least one special character (@, #, $, etc.)"
OqdcBr2K,e5e0e1914ef586bf74f25317df40b8fb1f8e896203f82bb2a0f318af64d40caa,Medium,"Include at least one special character (@, #, $, etc.)"
@21uDdFBDdx,fef7eb9892fed212dcc741c4381d6f69681089062f77bbe45636a7c8e39debd1,Strong,Good balance of characters
MRYy7Zb,b252535fe2f2ca65c8f497945b1214647e330c640e17379de7e91994ffa268bf,Weak,Too short (<8 characters)
ypbNhjQ1iKiP?DO,7370ff0b711c3df00191c15cb12d88a996c4f3a28dc66c5c0d331a3b4821b4d1,Very Strong,Good balance of characters
CbqSy,a7b4cc04361dbdbc3a254353e36a7ff1bb9a93a88890db0f46997395525e7217,Weak,Too short (<8 characters)
*IPHwC#Ec80g2h,c7787821d1265e74e7ecfee29d4c9c9c512e2b3b47be7f10f1e82de09976ad5c,Very Strong,Good balance of characters
zRIPk0NL,83681eaf5eafba77a5771a2be22a6297b594dc338b320c005a411ccd97424f53,Medium,"Include at least one special character (@, #, $, etc.)"
OJkgMRqqK,3a5937a7e0bb7255f7ff4082035b583e4165968e88a6062ee74affe234ae03ae,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
F9tq4E5T4Q%rx60s,74311b044ad81a14a7936ab1b78a91f1819a8a61fc64111ec99321ec80399586,Very Strong,Good balance of characters
t*P0Y%3j9$mp,7c85036de2abc1ef0b13b43e55d82691b2a6510d8c74f98ba49e883ea64cf3a3,Very Strong,Good balance of characters
MojZwq$xHC,df26606f0b83b1dfd2d89b3d2c3ca8c7903c51cec27e8f2f0530aa879532ecc1,Medium,Include at least one number
J*Q?ATPbZrTKhT,eb2df1e2bbf9d1ec263e4cba03380559167613821d152f9c3f7a05d430fcb9a2,Medium,Include at least one number
9QNbC&p6LSjQ,421625622b7aa1f4b8f3765d574f266db520866da837498b91644211f6fe8e7e,Very Strong,Good balance of characters
nW@uq**y4Q44IsM,629cfa004b896165f9be906c2fe3b77ffe1ebd2ac8ec19f9a26b6dc3340a2497,Very Strong,Good balance of characters
t*okOE2SH,978b5773279e5e090aef5855457d5792bd9f0b72e7de8b2a63157d2b6638d9ad,Strong,Good balance of characters
K6VlKTF5N#NAMx,40cf88e51b1e26164972c4dd7bb41a8fdea8f1b5e694af8ad410b3daecde11ef,Very Strong,Good balance of characters
XLMqOfJfga7CJ,4e89003a20aa2274e4358639605745b9f7f934e9497bcf0dfc77e377f6750a1f,Medium,"Include at least one special character (@, #, $, etc.)"
I78hlHAbI,2fafc51482c8dc2dc79767089761b3d8615272537d760db01d71c8e0c697667b,Medium,"Include at least one special character (@, #, $, etc.)"
zVVyRMcLC7jNd,37c65b4754c68f4dd373e524053cb7912e1238e8ad19b8ea4bbbc5b531a89322,Medium,"Include at least one special character (@, #, $, etc.)"
Fq606v$Ak?Wq&,c90e7f87be66ee806a62d9cb78be7c8104701868048065fc33870adce31a0e3b,Very Strong,Good balance of characters
n!ddBO?#WvBpJ,d83b36c90888e44de90312610999b86a5890f73bafe1c44f2224cc792a83bf2c,Medium,Include at least one number
!VPU?PKZ2vzvgh,712c9ebb0711914df6288809de7bddcdbe03476f5a9558fd6acadb2eeda2b5b5,Very Strong,Good balance of characters
7a@kyS?WnYxLA7q,93809c757ba1e41fc222fb02d3c4238eec4ce3149463c6794ef3ac4d6b38a727,Very Strong,Good balance of characters
&svSB@,02634245a92dfd12e02539e911c05f0068c46b23db5751d8366467440ee19312,Weak,Too short (<8 characters)
%Jp!&2y4mptJCv,e28c0289a25d5379b2e554261d188a1632b1d10531a4b0029b9cab8defa6df27,Very Strong,Good balance of characters
*u2Rq4,044de93a983de11b6253da9daad7f03557e68d259e0ba35287162fe9edc1bf9c,Weak,Too short (<8 characters)
vPbr#G1GQiy,57c90ac01aea97ac808240948304313838c2fbe3b6f2cbef0f91ec3cff73e601,Strong,Good balance of characters
tX@jU3W&K,fd83b9a0363995e43ddfade166830767216bdeab14781ae4298c9e11fee34b5f,Strong,Good balance of characters
xx201g,cc8fb45d998fcafc73c13cf06a9f8828f17e1ab55275787339eac5a518e1ca0c,Weak,Too short (<8 characters)
BSKSwjwIQIB,77aff8298a5076c4f0cd2c56deff7b19d4a2038ffd80ed8a86bbb140c9d06050,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
S67Krgu09u1y,c711ecca43f3901bb311f37cb19d384e12a4083f44452d2e347e783a21afe560,Medium,"Include at least one special character (@, #, $, etc.)"
Rv6n#N!le,dea17e83af9f99bae5c6ce1ffc7009b012694df4e5e7ff7db5b82ac850e5eaba,Strong,Good balance of characters
BZN$b7QB85Z%,f56e76ebb44669429b304ed1af5be0680206013e860013815079ab6c4a10a18e,Very Strong,Good balance of characters
RP9mh,949165a928e1fda201b92c4cf18d771a7ce5261a013992be3daa46196f2c1469,Weak,Too short (<8 characters)
$9vs5BX2HWir,417f38c89520f9e41680100678d87cb15eba571fe4b60327727fcaae4fe0dc6a,Very Strong,Good balance of characters
sZ6Kegba0s,2d8068e2a4ea62cf91163b73b3956652be3e651ee14379fb6995851ffdc5bf19,Medium,"Include at least one special character (@, #, $, etc.)"
cJ8ID6&of*GLS,26937f504d24538ddcf9a7e4be35371808afe8d6162c74f17372178b6d8fc9b9,Very Strong,Good balance of characters
Lf*Z#n6AOk2z,28fa8327956a26b9fb71485738f36ea2228f311ae3ec1574c0260040bf875576,Very Strong,Good balance of characters
Yc4dWrQ2GzB,6b4dfcb8bdbf6da37be1f799111c594241e37e74f363b4b18ba56a28613771d7,Medium,"Include at least one special character (@, #, $, etc.)"
oWayjB,c59ce035d76222c3f33308261a7f01d801cc40af0ed2ac6dac81140650cf72f4,Weak,Too short (<8 characters)
t0y&4CLSYfBQIi,c98ab8cdb3f5eb4379043a75e88b3fb9de8bf050db2ffef51192e63502e1ac51,Very Strong,Good balance of characters
Hq49LHg4qn%E,02b109974d9d3f3b9cf276abc3153d25652580fb32dceb0b4ecf1258c8d8bb64,Very Strong,Good balance of characters
Umqzvd,556054780b5aa161b7f24c70c8add4457f5f1369cea3def7368344f9d73f7826,Weak,Too short (<8 characters)
0e8N0?ryJJ?9,ae3655d52e7fe6fd4286d7e9baa408e89806252ec62034539e9fe19fad4a6a57,Very Strong,Good balance of characters
*Ud#Vl7QYO94,4c90c99061655769b346a6901904d1054999feda87996ed4613c37b84b713ccc,Very Strong,Good balance of characters
Ez!P4sX6jkDkTcn,9436d41f59243cd0148e4b4473b4eb23dd2b3beb673c6c712b14ec06dd9e1f49,Very Strong,Good balance of characters
CnpdZB5Efkn,0eb00be8d1bbe1a6953a5c7ffd31e6c5112f4a6e5926dd996f7042b1e6b99d33,Medium,"Include at least one special character (@, #, $, etc.)"
xc5&1sdjYq,cf5a262ad9b5945eb99dee23f54191a3eefc17f302cc7203db350bade447a922,Strong,Good balance of characters
D1&SCx7TCO$a,d8613033a454ff0714099318c0bae67e57a4159d2eeb9d3fa92382323d843620,Very Strong,Good balance of characters
z%FQpZprOe&9,7d2f3db0d56ba4c4008f7935df365137e4662d3d247caea2ce40ebed75302cd2,Very Strong,Good balance of characters
Qewh$O@9fXtrJ,5783d74daa8d92204914b1db13a7a39956e2413b259e41aaa1f625506d1a32fe,Very Strong,Good balance of characters
ToQ4tjmKAUi0Bf,9eb81d4cb102fad2789ebe30dc27fdf60280c2a887e3a2370a02d68166efd18b,Medium,"Include at least one special character (@, #, $, etc.)"
hvNKk4D$1q,52936b72726a655a0b9af172d7ff3fbb61ea3dbd1c0cc14c5370eac417aa8686,Strong,Good balance of characters
8tH*r#BQ,39690a422722a127a8d272e18ed4d0d522dda053eafcecfe4967279f225e0214,Strong,Good balance of characters
